id_partido,fecha,temporada,ano_inicio,uri_local,uri_visitante,puntos_local,puntos_visitante,cobertura_local,rebotes_local,asistencias_local,robos_local,perdidas_local,valoracion_local,porc_t3_local,cobertura_visitante,rebotes_visitante,asistencias_visitante,robos_visitante,perdidas_visitante,valoracion_visitante,porc_t3_visitante
20160110_rio-breogan_super-agropal-palencia,2016-01-10,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,70,79,1.0,35.0,7.0,11.0,14.0,69.0,28.57,1.0,27.0,15.0,9.0,15.0,89.0,53.84
20160115_melilla-ciudad-del-deporte-1_rio-breogan,2016-01-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,70,61,1.0,32.0,13.0,12.0,13.0,80.0,31.25,1.0,29.0,10.0,3.0,16.0,51.0,38.89
20160123_leyma-coruna_rio-breogan,2016-01-23,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,84,89,1.0,30.0,16.0,8.0,13.0,91.0,30.77,1.0,30.0,13.0,8.0,11.0,88.0,44.44
20160206_ourense_rio-breogan,2016-02-06,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/670/ourense,90,68,1.0,31.0,19.0,14.0,4.0,113.0,36.36,1.0,33.0,10.0,2.0,19.0,60.0,30.0
20160214_fibwi-palma_rio-breogan,2016-02-14,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,86,88,1.0,29.0,17.0,8.0,10.0,102.0,34.48,1.0,33.0,12.0,6.0,12.0,90.0,36.36
20160220_rio-breogan_san-pablo-burgos,2016-02-20,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,66,76,1.0,22.0,16.0,6.0,6.0,71.0,35.0,1.0,38.0,17.0,3.0,8.0,91.0,42.86
20160305_levitec-huesca_rio-breogan,2016-03-05,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,76,87,1.0,34.0,21.0,13.0,18.0,81.0,21.05,1.0,34.0,24.0,13.0,20.0,105.0,50.0
20160312_c-b-prat_rio-breogan,2016-03-12,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,70,76,1.0,37.0,10.0,6.0,13.0,70.0,24.0,1.0,35.0,9.0,9.0,13.0,69.0,27.27
20160319_rio-breogan_rioverde-clavijo,2016-03-19,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,76,62,1.0,35.0,17.0,10.0,13.0,86.0,28.57,1.0,30.0,14.0,6.0,16.0,56.0,18.18
20160327_alimerka-oviedo_rio-breogan,2016-03-27,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,78,86,1.0,25.0,14.0,7.0,11.0,72.0,37.04,1.0,32.0,13.0,5.0,11.0,95.0,36.36
20160408_fc-barcelona-ii_rio-breogan,2016-04-08,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,72,90,1.0,38.0,9.0,6.0,8.0,68.0,18.52,1.0,48.0,15.0,5.0,12.0,102.0,48.15
20160415_navarra_rio-breogan,2016-04-15,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,90,72,1.0,34.0,23.0,8.0,13.0,105.0,38.23,1.0,37.0,16.0,7.0,12.0,72.0,24.0
20151211_alimerka-oviedo_rio-breogan,2015-12-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,88,81,1.0,20.0,13.0,13.0,10.0,93.0,48.0,1.0,30.0,12.0,5.0,18.0,75.0,45.45
